,0,1,2
128,Mon Apr 12 02:27:44 +0000 2021,1381433827508187143,"rt @siripooh: “music can heal the wounds which medicine cannot touch.”
– debasish mridha
good morning! ⛅💛💛🦋🦋💛💛⛅ @peckpalit
photo cr: @kreed…"
129,Mon Apr 12 02:27:44 +0000 2021,1381433827613048834,rt @wendydaily221: wendy is the cover of spotify's hot hits korea featuring hit songs from south korea and abroad with like water as the #1…
130,Mon Apr 12 02:27:44 +0000 2021,1381433827730464769,"rt @btsyoutubedata: .@bts_twt ""00:00 (zero o'clock)"" audio has surpassed 30m streams on youtube music 

🔗 (https://t.co/peqtiis69m)"
131,Mon Apr 12 02:27:45 +0000 2021,1381433827852120064,"@andrewyang @ajrbrothers check out my band sir. its a bit heavy, but still #yanggang i donated music sales to your… https://t.co/sylhxiy9xo"
132,Mon Apr 12 02:27:45 +0000 2021,1381433828300910594,"rt @quinjinzinho: @jincrave also in the part when the music stops b armys kept singing. this wasn't one of the projects for the song, it wa…"
133,Mon Apr 12 02:27:45 +0000 2021,1381433829060083712,"@kdramathoughts_ viu prems
1 month - 15
3 months - 25
6 months- 45
12 months -70

netflix solo
1 month - 225
3 mont… https://t.co/vattdx628r"
134,Mon Apr 12 02:27:45 +0000 2021,1381433829122920454,rt @indiantoolmaker: @bhoolebisaregit @schawla13 @y_kale @p1j @deepabuty @nitingodbole @aartee33 @shenoysurekha @archana__air @arjunkisor @…
135,Mon Apr 12 02:27:45 +0000 2021,1381433830968451077,rt @bongfucked: these white people are dancing to the music playing inside of starbucks hahahahaha this is the whitest shit i’ve ever seen…
136,Mon Apr 12 02:27:45 +0000 2021,1381433831404736514,"huge thanks to 
@lonelyoakradio for continued support, love and airplay! we will soon be back with the second album… https://t.co/r9zbhirfka"
137,Mon Apr 12 02:27:45 +0000 2021,1381433831647940608,"rt @mamamoocharts: youtube music videos trending worldwide: 

#9 [teaser] 휘인 (whee in) - water color #2

trending in 10 countries:
🔗 https:…"
138,Mon Apr 12 02:27:45 +0000 2021,1381433831878705155,do you play any instruments? — no but i played percussion in elementary school (mostly drums bc i was bad at readin… https://t.co/roqlnidxzz
139,Mon Apr 12 02:27:46 +0000 2021,1381433832260386818,i use to complain about department store/commercial music and now it’s half my playlist
140,Mon Apr 12 02:27:46 +0000 2021,1381433832533069826,dababy’s music is so.....not good lol
141,Mon Apr 12 02:27:46 +0000 2021,1381433833262829573,"rt @leonewizkid: here’s a song for you… essence (feat. tems) by wizkid
https://t.co/hh2ltgmjrx"
142,Mon Apr 12 02:27:46 +0000 2021,1381433833921204225,"rt @votewithami: [📈 rate] 

⏰ overall estimate 

🏆: best music video — iheart awards

1. bts - 4.8m

2.         - 2.2m 

⚠️ let’s continue…"
143,Mon Apr 12 02:27:46 +0000 2021,1381433834496000001,rt @dbcxptures: maybe i’m getting old but i genuinely don’t understand how people listen to this type of music.
144,Mon Apr 12 02:27:46 +0000 2021,1381433835473227778,"rt @theswiftsociety: 🎧| 'mine' has now surpassed 90 million spotify streams! 

— it's the 3rd song on 'speak now' to reach this milestone!…"
145,Mon Apr 12 02:27:46 +0000 2021,1381433836131745794,"now playing, terry gross — space voyage mission from r-051 _ soft opening #music #"
146,Mon Apr 12 02:27:46 +0000 2021,1381433836072996867,"""feelin' alright"" hit the top 100 itunesuk music-videos chart! preview and more - https://t.co/1rhxipqyqb https://t.co/kq1zkgpwsi"
147,Mon Apr 12 02:27:47 +0000 2021,1381433837104824328,music hits different when you’re on plane that’s taking off/landing
148,Mon Apr 12 02:27:47 +0000 2021,1381433837054349316,"rt @j0ihan: everyday is weeekly day!🎀 we just completed another after school🧸 stage on music bank last night, daileee! watch our performanc…"
149,Mon Apr 12 02:27:47 +0000 2021,1381433837469663236,"rt @miss_svtmafia: seventeen's hitori janai performance will be revealed next week on love music, april 18 (april 19) at 12:30am kst onward…"
150,Mon Apr 12 02:27:47 +0000 2021,1381433837754806274,"rt @sugacology: 🗓   bts upcoming schedule

• april 17 ㅡ bangbangcon 2021
• april 23 ㅡ tokopedia special
• may ㅡ bts comeback
• may 24 ㅡ bil…"
151,Mon Apr 12 02:27:47 +0000 2021,1381433837935280132,"rt @sugacology: 🗓   bts upcoming schedule

• april 17 ㅡ bangbangcon 2021
• april 23 ㅡ tokopedia special
• may ㅡ bts comeback
• may 24 ㅡ bil…"
152,Mon Apr 12 02:27:47 +0000 2021,1381433838413389828,ok but this is a good song. bestie has taste😭💖💖
153,Mon Apr 12 02:27:47 +0000 2021,1381433839290028036,rt @writtenbyhanna: please donate. it is beyond shameful the way the music industry exploit and leave people dry  https://t.co/kjfrgoje6v
154,Mon Apr 12 02:27:47 +0000 2021,1381433839633883137,rt @milkymengs: yg producers trust for @treasuremembers is really that tight so as fans who don't have knowledge about music must trust the…
155,Mon Apr 12 02:27:47 +0000 2021,1381433838757322752,"(read as: an excuse for non nanos to check out their music even if they already disbanded lol) 

spotify:… https://t.co/ibbyqpodzf"
156,Mon Apr 12 02:27:47 +0000 2021,1381433840170844161,"pre-save my new single ""sigo subiendo"" on spotify: https://t.co/2rxevf4jyi (powered by @distrokid)"
157,Mon Apr 12 02:27:48 +0000 2021,1381433840430936074,"rt @boosey: happy birthday alberto ginastera! 🎂🎈 fittingly, it's also #nationalpetday. we love this picture of the composer with his cat 🐱…"
158,Mon Apr 12 02:27:48 +0000 2021,1381433840527421446,"“closet freak” by @msportiaportia feat. #icedoll 
get your copy today!
https://t.co/aqy65ditfv

for booking info fo… https://t.co/1gac6sylrp"
159,Mon Apr 12 02:27:48 +0000 2021,1381433841638850564,"rt @garats17: #세븐틴  upcoming sched
4/13
#the8 side by side 6pm
 
4/18
hitori janai 1st perf on love music 24:30

4/21
official release of h…"
160,Mon Apr 12 02:27:48 +0000 2021,1381433842460884996,rt @moodflix: music changes my mood
161,Mon Apr 12 02:27:48 +0000 2021,1381433842440024068,"rt @twicebsocial: twice has reached 840,000 followers on line music japan 🇯🇵

they’re the first kpop act to reach this milestone yet 🎉🎉🔥🔥…"
162,Mon Apr 12 02:27:48 +0000 2021,1381433842616131588,"rt @grandestreaming: .@arianagrande’s “no tears left to cry” music video has surpassed 999m views on youtube, it is less than 800k away fro…"
163,Mon Apr 12 02:27:48 +0000 2021,1381433842800660480,this is beautiful. music is so powerful.
